"RelativePath","Name","Extension","Size","Modified"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000006_PHYSICAL.csv","BATCH_000006_PHYSICAL.csv",".csv","3166811","2026-08-19T14:31:01.6340230+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000007_PHYSICAL.csv","BATCH_000007_PHYSICAL.csv",".csv","3217771","2026-08-19T14:31:03.6036857+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000008_PHYSICAL.csv","BATCH_000008_PHYSICAL.csv",".csv","3206321","2026-08-19T14:31:07.2133787+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000009_PHYSICAL.csv","BATCH_000009_PHYSICAL.csv",".csv","3271864","2026-08-19T14:31:09.1491220+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000010_PHYSICAL.csv","BATCH_000010_PHYSICAL.csv",".csv","3239121","2026-08-19T14:31:11.4214421+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000011_PHYSICAL.csv","BATCH_000011_PHYSICAL.csv",".csv","3226051","2026-08-19T14:31:13.2470987+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000012_PHYSICAL.csv","BATCH_000012_PHYSICAL.csv",".csv","3227984","2026-08-19T14:31:15.2787227+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000013_PHYSICAL.csv","BATCH_000013_PHYSICAL.csv",".csv","3190073","2026-08-19T14:31:17.0204330+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000014_PHYSICAL.csv","BATCH_000014_PHYSICAL.csv",".csv","3194209","2026-08-19T14:31:20.4727072+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000015_PHYSICAL.csv","BATCH_000015_PHYSICAL.csv",".csv","3129349","2026-08-19T14:31:22.2650748+05:30"
"04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000016_PHYSICAL.csv","BATCH_000016_PHYSICAL.csv",".csv","3195242","2026-08-19T14:31:24.2944902+05:30"
